Channel,Year,Inflation
TV,2010,0
Press,2010,0
Radio,2010,0
Cinema,2010,0
Direct Mail,2010,0
Digital,2010,0
Door Drops,2010,0
Outdoor,2010,0
TV,2011,0
Press,2011,0
Radio,2011,0
Cinema,2011,0
Direct Mail,2011,0
Digital,2011,0
Door Drops,2011,0
Outdoor,2011,0
TV,2012,0
Press,2012,0
Radio,2012,0
Cinema,2012,0
Direct Mail,2012,0
Digital,2012,0
Door Drops,2012,0
Outdoor,2012,0
TV,2013,0
Press,2013,0
Radio,2013,0
Cinema,2013,0
Direct Mail,2013,0
Digital,2013,0
Door Drops,2013,0
Outdoor,2013,0
TV,2014,0
Press,2014,0
Radio,2014,0
Cinema,2014,0
Direct Mail,2014,0
Digital,2014,0
Door Drops,2014,0
Outdoor,2014,0
TV,2015,0
Press,2015,0
Radio,2015,0
Cinema,2015,0
Direct Mail,2015,0
Digital,2015,0
Door Drops,2015,0
Outdoor,2015,0
TV,2016,0
Press,2016,0
Radio,2016,0
Cinema,2016,0
Direct Mail,2016,0
Digital,2016,0
Door Drops,2016,0
Outdoor,2016,0
TV,2017,0
Press,2017,0
Radio,2017,0
Cinema,2017,0
Direct Mail,2017,0
Digital,2017,0
Door Drops,2017,0
Outdoor,2017,0
TV,2018,0
Press,2018,0
Radio,2018,0
Cinema,2018,0
Direct Mail,2018,0
Digital,2018,0
Door Drops,2018,0
Outdoor,2018,0
TV,2019,0
Press,2019,0
Radio,2019,0
Cinema,2019,0
Direct Mail,2019,0
Digital,2019,0
Door Drops,2019,0
Outdoor,2019,0
TV,2020,0
Press,2020,0
Radio,2020,0
Cinema,2020,0
Direct Mail,2020,0
Digital,2020,0
Door Drops,2020,0
Outdoor,2020,0
